City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
215,Mattru,SL,2021-03-24 23:22:56,7.6244,-11.8332,77.94,79,100,2.89
216,Aranda De Duero,ES,2021-03-24 23:22:56,41.6704,-3.6892,49.19,47,40,3.62
217,Carahue,CL,2021-03-24 23:22:56,-38.7,-73.1667,60.8,55,0,10.36
218,Acala,MX,2021-03-24 23:22:57,16.5667,-92.8,91.4,27,1,14.97
219,Tuy Hoa,VN,2021-03-24 23:22:57,13.0833,109.3,73.26,92,100,4.07
220,San Patricio,US,2021-03-24 23:22:57,28.017,-97.5169,77.0,78,90,13.8
221,Karpogory,RU,2021-03-24 23:22:58,64.0019,44.4451,34.95,93,100,12.5
222,Camana,PE,2021-03-24 23:22:58,-16.6228,-72.7111,71.55,81,19,7.92
223,Goure,NE,2021-03-24 23:18:59,13.9835,10.2704,81.0,9,45,13.0
224,Siocon,PH,2021-03-24 23:22:58,7.7061,122.1353,79.97,84,93,3.98
225,Klaksvik,FO,2021-03-24 23:22:59,62.2266,-6.589,39.2,87,20,8.05
226,San Cristobal,VE,2021-03-24 23:22:59,7.7669,-72.225,82.4,65,40,9.22
227,Russellville,US,2021-03-24 23:22:59,35.2784,-93.1338,75.0,35,1,6.91
228,Hobyo,SO,2021-03-24 23:23:00,5.3505,48.5268,77.74,63,2,11.88
229,Natalicio Talavera,PY,2021-03-24 23:23:00,-25.6333,-56.3,72.23,96,55,7.25
230,Luderitz,NA,2021-03-24 23:23:00,-26.6481,15.1594,65.53,80,0,6.91
231,Richards Bay,ZA,2021-03-24 23:23:00,-28.783,32.0377,69.8,67,100,3.87
232,Balykshi,KZ,2021-03-24 23:18:17,47.0667,51.8667,42.8,81,75,24.61
233,Saint George,US,2021-03-24 23:23:01,37.1041,-113.5841,63.0,16,1,10.36
234,Inuvik,CA,2021-03-24 23:23:01,68.3499,-133.7218,15.8,53,100,3.44
235,Torbay,CA,2021-03-24 23:23:01,47.6666,-52.7314,37.0,75,75,3.44
236,Clyde River,CA,2021-03-24 23:23:02,70.4692,-68.5914,-13.0,77,75,14.97
237,Tokur,RU,2021-03-24 23:23:02,53.1333,132.9,14.38,91,100,2.62
238,Longyearbyen,SJ,2021-03-24 23:23:02,78.2186,15.6401,26.6,74,75,12.66
239,Humberto De Campos,BR,2021-03-24 23:23:03,-2.5983,-43.4611,75.45,90,87,4.56
240,Mayo,US,2021-03-24 23:23:03,38.8876,-76.5119,57.99,100,90,8.05
241,Gizo,SB,2021-03-24 23:23:03,-8.103,156.8419,83.68,70,99,6.38
242,Esperance,AU,2021-03-24 23:23:04,-33.8667,121.9,55.4,88,67,10.36
243,Etchoropo,MX,2021-03-24 23:23:04,26.7667,-109.6667,66.99,47,4,11.01
244,Moose Factory,CA,2021-03-24 23:23:04,51.2585,-80.6094,24.8,80,90,9.22
245,Poum,NC,2021-03-24 23:23:05,-20.2333,164.0167,80.24,75,41,19.39
246,Dingle,PH,2021-03-24 23:23:05,10.9995,122.6711,77.49,88,100,8.95
247,Sechelt,CA,2021-03-24 23:23:05,49.4664,-123.7694,46.4,81,100,2.3
248,Sola,VU,2021-03-24 23:23:05,-13.8833,167.55,80.92,73,76,3.83
249,Haines Junction,CA,2021-03-24 23:23:06,60.7522,-137.5108,30.2,31,93,3.44
250,Mazagao,BR,2021-03-24 23:23:06,-0.115,-51.2894,77.0,94,75,3.44
251,Guane,CU,2021-03-24 23:23:06,22.2025,-84.0875,80.83,65,0,11.39
252,Caluquembe,AO,2021-03-24 23:23:07,-13.7833,14.6833,60.53,97,100,5.77
253,Pangnirtung,CA,2021-03-24 23:23:07,66.1451,-65.7125,-25.6,68,40,3.44
254,Lakes Entrance,AU,2021-03-24 23:22:23,-37.8811,147.981,64.99,81,70,3.0
255,Kulhudhuffushi,MV,2021-03-24 23:23:07,6.6221,73.07,82.62,72,100,5.08
256,Daliang,CN,2021-03-24 23:23:08,22.8504,113.247,70.0,72,0,4.07
257,Antalaha,MG,2021-03-24 23:23:08,-14.9003,50.2788,75.13,90,36,3.74
258,Chuy,UY,2021-03-24 23:23:08,-33.6971,-53.4616,66.92,81,10,7.74
259,Monforte De Lemos,ES,2021-03-24 23:23:08,42.5216,-7.5142,44.01,78,100,3.0
260,Monterey,US,2021-03-24 23:23:09,36.2505,-121.2516,70.0,26,35,14.0
261,Miranda,CO,2021-03-24 23:23:09,3.2499,-76.2281,77.0,78,75,2.3
262,Alugan,PH,2021-03-24 23:23:09,12.2188,125.4808,79.47,85,91,12.33
263,Honolulu,US,2021-03-24 23:19:17,21.3069,-157.8583,80.6,69,75,13.8
264,Sao Filipe,CV,2021-03-24 23:23:10,14.8961,-24.4956,72.46,70,7,18.19
265,Soto,AR,2021-03-24 23:23:10,-32.8107,-61.4026,70.0,98,53,4.0
266,Airai,TL,2021-03-24 23:23:10,-8.9266,125.4092,64.22,86,44,0.87
267,Brae,GB,2021-03-24 23:23:11,60.3964,-1.353,44.6,81,90,29.93
268,Sol-Iletsk,RU,2021-03-24 23:23:11,51.1631,54.9918,25.25,88,100,13.18
269,Linqu,CN,2021-03-24 23:23:11,36.5156,118.5397,51.26,49,0,4.85
270,Fortuna,US,2021-03-24 23:23:11,40.5982,-124.1573,54.0,81,90,16.11
271,Yerbogachen,RU,2021-03-24 23:23:12,61.2767,108.0108,-2.6,99,100,3.65
272,Hamakita,JP,2021-03-24 23:23:12,34.8,137.7833,57.0,66,75,3.44
273,Ivaipora,BR,2021-03-24 23:23:12,-24.2478,-51.6847,71.58,79,88,3.53
274,Tarrega,ES,2021-03-24 23:23:13,41.647,1.1396,48.99,83,4,3.0
275,Sivagiri,IN,2021-03-24 23:23:13,9.3333,77.4333,77.41,82,100,3.04
276,Khor,RU,2021-03-24 23:23:13,47.8861,134.9464,22.03,76,5,2.84
277,Geraldton,AU,2021-03-24 23:23:14,-28.7667,114.6,59.0,72,0,5.75
