City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
245,Srednekolymsk,67.45,153.6833,-10.52,91,97,2.59,RU,overcast clouds
246,Comodoro Rivadavia,-45.8667,-67.5,75.2,33,0,14.97,AR,clear sky
247,Otane,-39.8833,176.6333,60.01,87,100,1.66,NZ,overcast clouds
248,Tutoia,-2.7619,-42.2744,77.45,84,99,9.31,BR,overcast clouds
249,Muscat,23.6139,58.5922,78.8,36,0,4.61,OM,clear sky
250,Kushima,31.4583,131.2333,60.8,94,75,4.61,JP,light rain
251,Sulangan,11.1373,123.7228,80.96,79,99,8.59,PH,overcast clouds
252,Hambantota,6.1241,81.1185,77.49,78,83,4.9,LK,broken clouds
253,Micheweni,-4.9667,39.8333,80.78,69,100,5.17,TZ,overcast clouds
254,Benjamin Constant,-4.3831,-70.0311,80.6,83,40,3.44,BR,light rain
255,Mujiayingzi,42.1167,118.7833,43.36,31,70,19.6,CN,broken clouds
256,Vagur,61.4732,-6.8119,40.84,96,100,48.05,FO,overcast clouds
257,Taltal,-25.4,-70.4833,67.26,67,43,3.62,CL,scattered clouds
258,Latehar,23.75,84.5,70.21,17,0,3.71,IN,clear sky
259,Carauari,-4.8828,-66.8958,80.42,81,96,3.76,BR,overcast clouds
260,Gat,31.61,34.7642,55.0,100,7,1.95,IL,clear sky
261,Nioro,13.35,-15.75,89.76,18,8,3.27,GM,clear sky
262,Lexington Park,38.2668,-76.4538,66.2,52,75,14.97,US,broken clouds
263,Buri,-23.7975,-48.5928,65.89,91,80,7.02,BR,broken clouds
264,Ngunguru,-35.6167,174.5,69.01,81,99,5.01,NZ,overcast clouds
265,Gawler,-34.6,138.7333,55.99,86,71,1.99,AU,light rain
266,Crown Point,41.417,-87.3653,64.99,67,90,16.11,US,light rain
267,Kayerkan,69.3497,87.7602,-2.56,99,76,1.5,RU,broken clouds
268,Komsomolskiy,40.4272,71.7189,55.4,82,90,4.61,UZ,light rain
269,Zonguldak,41.25,31.8333,29.53,88,0,5.23,TR,clear sky
270,Avarua,-21.2078,-159.775,84.2,74,75,21.85,CK,broken clouds
271,Dikson,73.5069,80.5464,-19.32,100,98,8.19,RU,overcast clouds
272,Alofi,-19.0595,-169.9187,77.0,94,90,5.75,NU,light rain
273,Harper,4.375,-7.7169,78.21,86,7,5.06,LR,light rain
274,Ubrique,36.6778,-5.446,62.6,44,0,3.44,ES,clear sky
275,Longyearbyen,78.2186,15.6401,24.8,80,90,34.52,SJ,snow
276,Sovetskaya Gavan,48.9723,140.2878,26.62,90,55,3.13,RU,broken clouds
277,Santarem,-2.4431,-54.7083,84.2,74,75,12.66,BR,broken clouds
278,Karaton,-6.3424,106.1045,79.0,89,40,2.3,ID,mist
279,Bathsheba,13.2167,-59.5167,80.6,61,40,18.41,BB,scattered clouds
280,Tevriz,57.509,72.4042,31.51,98,100,5.68,RU,light snow
281,San Isidro,-12.1167,-77.05,75.2,64,0,5.75,PE,clear sky
282,Santona,43.4439,-3.4576,52.0,81,0,3.44,ES,clear sky
283,Jucurutu,-6.0339,-37.0203,78.12,81,94,8.5,BR,light rain
284,Ribeira Grande,38.5167,-28.7,60.8,88,40,10.36,PT,scattered clouds
285,Kruisfontein,-34.0033,24.7314,61.0,72,2,3.0,ZA,clear sky
286,Nishihara,26.1842,127.7558,73.4,88,75,13.8,JP,broken clouds
